IRTT,"	ORTT","	T1","		T2","		T3","		G","		HNG","		phiL","	phiR","	UX1","		UY1","		UX2	","	UY2	","	UX3	","	UY3	","	UX4	","	UY4","		UX5","		UY5","		UX6","		UY6	","	UX7","		UY7","		UX8","		UY8","		UX9","		UY9","		UX10","		UY10","		MaxVM",Error
0.021,0.029,0.43,0.26,0.02,0.021,0.033,0.23,0.23,-0.486659,-0.031957,-0.306221,-0.016143,-0.289995,-0.015885,-0.109147,-0.025965,-0.087951,-0.027074,0.092962,-0.035918,0.122622,-0.033318,0.299236,0.006872,0.305674,0.006928,0.482967,-0.030152,41441984,0.147019
0.01,0.015,0.08,0.07,0.06,0.043,0.039,0.26,0.19,-0.470662,-0.033504,-0.315221,0.0005,-0.281876,0.003751,-0.122794,0.000406,-0.078283,0.000337,0.080808,0.00319,0.124136,0.004155,0.283197,0.008388,0.315287,0.004959,0.469862,-0.032787,86679280,0.362353
0.005,0.025,0.25,0.23,0.07,0.035,0.026,0.19,0.11,-0.480132,-0.024239,-0.31486,-0.008624,-0.283286,-0.00768,-0.117376,-0.013383,-0.081696,-0.014135,0.084307,-0.015426,0.122329,-0.013424,0.287279,0.005293,0.314715,0.004574,0.478457,-0.022763,21049350,0.172502
0.003,0.012,0.63,0.52,0.11,0.042,0.047,0.24,0.23,-0.486541,-0.049688,-0.328253,-0.074529,-0.276613,-0.077099,-0.116641,-0.068097,-0.07007,-0.063029,0.088093,-0.037412,0.128451,-0.0314,0.287214,-0.009808,0.31308,-0.010609,0.470204,-0.041979,877683584,0.096598
0.015,0.027,0.61,0.56,0.1,0.022,0.029,0.12,0.25,-0.491792,-0.02991,-0.312944,-0.046902,-0.287453,-0.047757,-0.107868,-0.042787,-0.084846,-0.041733,0.094441,-0.030271,0.119755,-0.027086,0.296293,0.006224,0.307255,0.006241,0.483898,-0.026509,118844784,0.092576
0.004,0.023,0.94,0.61,0.09,0.039,0.04,0.24,0.21,-0.485816,-0.042179,-0.324123,-0.063186,-0.284696,-0.067951,-0.122654,-0.086063,-0.082058,-0.089695,0.080626,-0.100633,0.131752,-0.095796,0.289498,-0.05454,0.319874,-0.049797,0.482688,-0.040994,373449856,0.016232
0.011,0.02,0.03,0.02,0.12,0.039,0.025,0.21,0.17,-0.476032,-0.020755,-0.316625,0.010681,-0.283323,0.013605,-0.120878,0.010426,-0.080467,0.01079,0.081895,0.016895,0.119148,0.01701,0.281545,0.011916,0.316497,0.008188,0.476316,-0.021079,14465167,0.33595
0.015,0.029,0.39,0.2,0.16,0.025,0.029,0.14,0.21,-0.487158,-0.02885,-0.31086,-0.026766,-0.287316,-0.027075,-0.111134,-0.033785,-0.084592,-0.034085,0.091697,-0.031358,0.121328,-0.0284,0.294679,0.003767,0.309014,0.003845,0.482707,-0.026423,50771628,0.108005
0.007,0.027,0.38,0.38,0.12,0.03,0.025,0.12,0.19,-0.485345,-0.025204,-0.314317,-0.027557,-0.283372,-0.027395,-0.112378,-0.023247,-0.081349,-0.021831,0.089312,-0.010384,0.120231,-0.00766,0.290265,0.010907,0.312551,0.010034,0.480612,-0.021774,44776880,0.151104
0.012,0.022,0.45,0.32,0.2,0.027,0.021,0.13,0.19,-0.487845,-0.021806,-0.314102,-0.032739,-0.286482,-0.034045,-0.112482,-0.039554,-0.083657,-0.039193,0.09015,-0.029334,0.119289,-0.026025,0.29088,0.003346,0.311279,0.003736,0.483867,-0.019052,87925736,0.065032
0.009,0.012,0.54,0.29,0.04,0.04,0.042,0.23,0.12,-0.481539,-0.042699,-0.320216,-0.048563,-0.277474,-0.048709,-0.116115,-0.043951,-0.073134,-0.041092,0.087433,-0.024431,0.127668,-0.020026,0.288036,-0.00155,0.313794,-0.002809,0.471595,-0.03684,1551085056,0.149189
0.011,0.029,1,0.56,0.01,0.045,0.032,0.14,0.26,-0.483365,-0.035405,-0.328878,-0.062495,-0.281195,-0.068485,-0.124807,-0.080449,-0.079607,-0.083683,0.076891,-0.094101,0.129361,-0.091092,0.283642,-0.062854,0.326638,-0.055985,0.482039,-0.034751,449863680,0.024532
0.015,0.027,0.05,0.04,0.2,0.025,0.025,0.23,0.11,-0.482521,-0.021812,-0.310069,0.015291,-0.291707,0.016841,-0.115477,0.009162,-0.088715,0.008949,0.087616,0.013816,0.110443,0.013466,0.286541,0.003186,0.309457,0.000946,0.484213,-0.023066,12938979,0.329335
0.005,0.017,0.31,0.27,0.18,0.026,0.026,0.15,0.12,-0.487495,-0.026242,-0.312781,-0.029553,-0.286956,-0.030126,-0.112267,-0.034568,-0.083662,-0.033838,0.090573,-0.02049,0.117226,-0.018052,0.290991,0.000428,0.310463,0.000113,0.483542,-0.023961,74867672,0.105314
0.007,0.011,0.09,0.07,0.17,0.035,0.024,0.14,0.21,-0.481075,-0.022893,-0.315071,-0.012793,-0.281659,-0.011846,-0.11535,-0.012526,-0.077232,-0.010072,0.087617,0.011921,0.11973,0.014352,0.286012,0.017426,0.315208,0.014639,0.477904,-0.019849,101253272,0.239476
0.016,0.022,0.41,0.32,0.02,0.027,0.021,0.21,0.27,-0.485748,-0.020497,-0.310485,-0.014142,-0.284471,-0.013804,-0.109102,-0.015606,-0.081878,-0.01574,0.093501,-0.015668,0.124882,-0.012075,0.295738,0.027493,0.311925,0.027274,0.481644,-0.01692,132544024,0.163131
0.008,0.013,0.62,0.6,0.05,0.028,0.042,0.24,0.2,-0.492877,-0.043695,-0.321131,-0.07144,-0.283145,-0.072891,-0.109783,-0.058329,-0.07934,-0.054797,0.092753,-0.029289,0.118864,-0.025948,0.291835,-0.007302,0.307552,-0.007865,0.478747,-0.038837,624273088,0.107177
0.003,0.024,0.63,0.52,0.18,0.031,0.029,0.16,0.26,-0.4871,-0.030246,-0.31682,-0.045222,-0.283605,-0.046832,-0.112674,-0.048396,-0.079654,-0.04753,0.090959,-0.03701,0.126175,-0.031966,0.29288,0.005835,0.311421,0.006169,0.479378,-0.025613,86926312,0.073904
0.006,0.028,0.06,0.06,0.13,0.03,0.03,0.25,0.14,-0.478563,-0.025796,-0.311347,0.013308,-0.289655,0.015419,-0.118037,0.009279,-0.086716,0.008854,0.085005,0.010334,0.113994,0.010098,0.285668,0.005823,0.310906,0.003271,0.479963,-0.026898,9101824,0.360828
0.005,0.019,0.19,0.12,0.01,0.043,0.044,0.18,0.24,-0.474674,-0.041915,-0.316471,-0.027797,-0.277837,-0.026239,-0.11901,-0.027572,-0.075729,-0.027797,0.083103,-0.028114,0.132919,-0.024174,0.289727,0.001105,0.314377,0.000117,0.468659,-0.03763,70086664,0.196725
0.009,0.017,0.14,0.12,0.02,0.024,0.02,0.15,0.26,-0.486526,-0.019038,-0.309144,-0.00562,-0.286057,-0.00438,-0.108258,0.001274,-0.084027,0.002195,0.093687,0.010063,0.118995,0.012074,0.295721,0.032374,0.311618,0.031145,0.48312,-0.016095,71116600,0.277403
0.004,0.022,0.34,0.2,0.02,0.039,0.032,0.28,0.21,-0.476363,-0.029078,-0.314358,-0.007029,-0.282382,-0.006103,-0.119373,-0.018736,-0.080149,-0.021574,0.082981,-0.032538,0.13067,-0.02882,0.29013,0.007295,0.314373,0.007413,0.474175,-0.027154,53648016,0.157589
0.005,0.021,0.7,0.67,0.06,0.043,0.048,0.2,0.3,-0.483952,-0.050087,-0.325253,-0.067782,-0.275788,-0.069867,-0.116164,-0.06559,-0.071871,-0.063788,0.087573,-0.055078,0.139395,-0.046953,0.293855,-0.006449,0.312669,-0.006163,0.468287,-0.041959,143908048,0.075605
0.007,0.016,0.29,0.23,0.17,0.032,0.03,0.12,0.19,-0.485402,-0.030707,-0.316537,-0.038511,-0.283247,-0.039323,-0.114203,-0.039761,-0.07921,-0.038055,0.08899,-0.021177,0.121198,-0.017732,0.289163,0.001345,0.312541,0.000742,0.479298,-0.026971,103734824,0.110872
0.008,0.022,0.7,0.43,0.11,0.031,0.038,0.28,0.25,-0.485225,-0.038288,-0.31341,-0.041556,-0.28613,-0.043379,-0.115408,-0.063002,-0.082594,-0.065921,0.088912,-0.076745,0.133703,-0.070766,0.296365,-0.015336,0.309353,-0.014021,0.479822,-0.035737,138253664,0.029218
0.007,0.021,0.09,0.08,0.2,0.024,0.032,0.27,0.24,-0.481064,-0.028451,-0.307071,0.012008,-0.291127,0.013712,-0.112513,0.010944,-0.085652,0.011744,0.09248,0.025145,0.113388,0.025716,0.291986,0.022059,0.307711,0.019769,0.479934,-0.027665,16440545,0.464848
0.017,0.027,0.53,0.29,0.03,0.045,0.05,0.15,0.16,-0.479226,-0.050741,-0.323352,-0.056083,-0.280383,-0.058399,-0.124838,-0.069845,-0.079315,-0.072909,0.076361,-0.082405,0.133544,-0.078617,0.286608,-0.048673,0.32041,-0.045798,0.476333,-0.049458,147895552,0.016253
0.006,0.024,0.54,0.29,0.09,0.032,0.022,0.13,0.22,-0.485792,-0.023198,-0.316961,-0.036607,-0.284637,-0.038876,-0.115588,-0.04918,-0.08281,-0.050571,0.086505,-0.054625,0.123632,-0.050774,0.288511,-0.012058,0.313602,-0.009971,0.482611,-0.02092,124733112,0.019682
0.003,0.015,0.59,0.49,0.01,0.038,0.037,0.23,0.23,-0.48444,-0.038573,-0.320989,-0.053483,-0.27892,-0.054948,-0.114828,-0.051439,-0.075987,-0.050154,0.087978,-0.042808,0.132244,-0.036683,0.292043,0.000769,0.313173,0.001036,0.473869,-0.03236,581764736,0.079738
0.007,0.029,0.61,0.36,0.14,0.031,0.025,0.14,0.24,-0.486022,-0.025882,-0.315712,-0.036082,-0.284456,-0.037764,-0.114036,-0.045907,-0.081898,-0.046699,0.088717,-0.046955,0.125261,-0.042569,0.29097,-0.001947,0.312215,-0.000767,0.481403,-0.02279,76548904,0.043992
0.015,0.026,0.02,0.01,0.03,0.043,0.036,0.13,0.22,-0.474257,-0.033099,-0.317083,-0.013723,-0.277723,-0.010793,-0.119413,-0.006685,-0.076035,-0.005318,0.08222,0.000552,0.125133,0.002109,0.283397,0.007724,0.316627,0.004604,0.471081,-0.030364,2262798.5,0.294835
0.013,0.027,0.66,0.38,0.17,0.049,0.032,0.11,0.24,-0.479549,-0.034728,-0.32816,-0.05317,-0.277156,-0.05759,-0.124851,-0.065468,-0.073942,-0.066553,0.078561,-0.065172,0.133947,-0.058491,0.282403,-0.023566,0.321276,-0.020341,0.473457,-0.030327,123196928,0.015245
0.006,0.015,0.49,0.45,0.01,0.028,0.038,0.18,0.24,-0.489642,-0.03915,-0.316583,-0.055527,-0.283053,-0.056212,-0.10947,-0.046914,-0.080823,-0.045114,0.092558,-0.032603,0.12422,-0.028658,0.295371,0.001758,0.308369,0.001551,0.478465,-0.034296,463052160,0.111315
0.01,0.019,0.12,0.08,0.17,0.023,0.026,0.13,0.23,-0.486707,-0.025131,-0.30868,-0.012632,-0.287182,-0.011734,-0.108732,-0.009347,-0.083567,-0.007931,0.094025,0.009712,0.115714,0.011344,0.293946,0.020477,0.309213,0.019065,0.482748,-0.022597,17251316,0.270349
0.01,0.014,0.35,0.32,0.17,0.036,0.027,0.14,0.2,-0.484314,-0.028407,-0.31967,-0.042185,-0.281014,-0.043463,-0.11582,-0.040584,-0.076872,-0.03765,0.086889,-0.015743,0.12165,-0.011749,0.286112,0.004052,0.314828,0.003087,0.477858,-0.023722,192914592,0.10618
