IRTT,"	ORTT","	T1","		T2","	G","		HNG	","	phiL","	phiR","	UX1","		UY1	","	UX2	","	UY2	","	UX3	","	UY3	","	UX4	","	UY4	","	UX5","		UY5","		UX6	","	UY6","		UX7","		UY7","		UX8","		UY8",MaxVM,Error
0.001,0.011,0.29,0.26,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,325089664,0.189304
0.006,0.025,0.48,0.26,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,109698672,0.100799
0.005,0.027,0.6,0.33,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,76880272,0.080013
0.004,0.012,0.22,0.17,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,258212192,0.235978
0.014,0.021,0.29,0.26,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,40677072,0.245995
0.007,0.026,0.78,0.5,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,155856464,0.030962
0.007,0.016,0.82,0.67,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,1080634112,0.023979
0.004,0.011,0.42,0.38,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,920686528,0.211891
0.006,0.018,0.33,0.21,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,132394624,0.161856
0.006,0.022,0.58,0.44,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,96883536,0.074181
0.009,0.017,0.07,0.04,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,61590976,0.386296
0.012,0.018,0.53,0.3,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,462975712,0.053414
0.003,0.012,0.06,0.03,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,116671144,0.395438
0.009,0.013,0.62,0.32,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,1666497408,0.07144
0.005,0.025,0.81,0.71,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,141025360,0.047522
0.008,0.018,0.4,0.31,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,173748016,0.136629
0.007,0.014,0.17,0.14,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,162173728,0.298182
0.003,0.021,0.49,0.41,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,77015376,0.115126
0.004,0.023,0.43,0.31,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,42674492,0.149292
0.008,0.02,0.01,0.01,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,5894476.5,0.440745
0.003,0.022,0.59,0.48,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,83758208,0.071466
0.015,0.024,0.25,0.23,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,49081996,0.300521
0.013,0.029,0.17,0.09,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,21065022,0.339845
0.003,0.021,0.44,0.25,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,69973976,0.102426
0.005,0.015,0.52,0.5,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,506233664,0.106232
0.013,0.023,0.08,0.08,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,24484708,0.405613
