IRTT,	ORTT,	T1,		T2,	G,		HNG	,	phiL,	phiR,	UX1,		UY1	,	UX2	,	UY2	,	UX3	,	UY3	,	UX4	,	UY4	,	UX5,		UY5,		UX6	,	UY6,		UX7,		UY7,		UX8,		UY8,MaxVM,Error
  0.008000,  0.013000,  0.360000,  0.330000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485022, -0.030011, -0.262505, -0.030173, -0.230233, -0.028949, -0.008368, -0.011931,  0.023610, -0.008292,  0.243626,  0.024974,  0.261830,  0.024272,  0.478628, -0.025850,694567552.000000,  0.235305
  0.005000,  0.015000,  0.130000,  0.120000,  0.030000,  0.030000,  0.200000,  0.200000, -0.481364, -0.027887, -0.260596, -0.000040, -0.234336,  0.001668, -0.011822,  0.002649,  0.020994,  0.004380,  0.242377,  0.026816,  0.261961,  0.025526,  0.478492, -0.025737,98209232.000000,  0.347614
  0.013000,  0.022000,  0.520000,  0.340000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485702, -0.030341, -0.263245, -0.035516, -0.234754, -0.036877, -0.012817, -0.052924,  0.025882, -0.049766,  0.242281,  0.002054,  0.260614,  0.002944,  0.481017, -0.027652,108569528.000000,  0.083131
  0.012000,  0.017000,  0.050000,  0.040000,  0.030000,  0.030000,  0.200000,  0.200000, -0.479999, -0.026925, -0.260891,  0.011871, -0.236383,  0.014011, -0.013867,  0.013771,  0.017437,  0.014425,  0.239749,  0.023957,  0.261613,  0.022039,  0.478871, -0.026049,54251820.000000,  0.413447
  0.012000,  0.027000,  0.620000,  0.430000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485576, -0.030281, -0.263100, -0.034532, -0.234518, -0.035738, -0.012475, -0.050251,  0.025953, -0.047034,  0.242494,  0.004190,  0.260648,  0.004970,  0.480784, -0.027491,80993032.000000,  0.092099
  0.001000,  0.011000,  0.290000,  0.260000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485114, -0.030057, -0.262599, -0.030901, -0.231594, -0.030496, -0.009177, -0.023839,  0.025183, -0.020131,  0.243900,  0.020820,  0.261483,  0.020585,  0.479030, -0.026178,325089664.000000,  0.189304
  0.006000,  0.025000,  0.480000,  0.260000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484678, -0.029837, -0.262174, -0.027439, -0.235261, -0.028509, -0.013649, -0.048550,  0.025318, -0.045912,  0.242206,  0.003818,  0.260640,  0.004562,  0.480831, -0.027524,109698672.000000,  0.100799
  0.005000,  0.027000,  0.600000,  0.330000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485304, -0.030150, -0.262798, -0.032398, -0.235322, -0.033805, -0.013751, -0.054294,  0.025486, -0.051515,  0.241957,  0.000001,  0.260598,  0.000971,  0.481246, -0.027808,76880272.000000,  0.080013
  0.004000,  0.012000,  0.220000,  0.170000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483395, -0.029142, -0.261206, -0.017074, -0.232924, -0.016339, -0.010407, -0.016848,  0.024467, -0.013951,  0.243850,  0.023257,  0.261683,  0.022785,  0.478790, -0.025983,258212192.000000,  0.235978
  0.014000,  0.021000,  0.290000,  0.260000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482982, -0.028903, -0.260987, -0.013672, -0.233420, -0.012886, -0.010918, -0.015433,  0.024085, -0.012782,  0.243665,  0.023250,  0.261677,  0.022727,  0.478796, -0.025988,40677072.000000,  0.245995
  0.007000,  0.026000,  0.780000,  0.500000,  0.030000,  0.030000,  0.200000,  0.200000, -0.487477, -0.031115, -0.265690, -0.049120, -0.236199, -0.051710, -0.014668, -0.072633,  0.024916, -0.069641,  0.240787, -0.015664,  0.260998, -0.013867,  0.483005, -0.028917,155856464.000000,  0.030962
  0.007000,  0.016000,  0.820000,  0.670000,  0.030000,  0.030000,  0.200000,  0.200000, -0.491531, -0.032454, -0.273828, -0.078489, -0.237553, -0.082041, -0.015055, -0.079112,  0.019964, -0.075529,  0.238445, -0.033341,  0.262609, -0.030979,  0.485124, -0.030062,1080634112.000000,  0.023979
  0.004000,  0.011000,  0.420000,  0.380000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486480, -0.030695, -0.264228, -0.041541, -0.229013, -0.040105, -0.008382, -0.011194,  0.021298, -0.007341,  0.241996,  0.021045,  0.261454,  0.020243,  0.479068, -0.026208,920686528.000000,  0.211891
