IRTT,	ORTT,	T1,		T2,		T3,		G,		HNG,		phiL,	phiR,	X1,		Y1,		X2,		Y2,		X3,		Y3,		X4,		Y4,		X5,		Y5,		X6,		Y6,		X7,		Y7,		X8,		Y8,		X9,		Y9,		X10,		Y10,		MaxVM, Error
  0.005000,  0.023000,  0.580000,  0.450000,  0.130000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486120, -0.030534, -0.314630, -0.036881, -0.284997, -0.038145, -0.113590, -0.046436, -0.081979, -0.047105,  0.089626, -0.046075,  0.125927, -0.041745,  0.292959, -0.002379,  0.311004, -0.001649,  0.480667, -0.027409,89884904.000000,  0.059414
  0.010000,  0.024000,  0.130000,  0.090000,  0.180000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480724, -0.027449, -0.311007, -0.002046, -0.286071, -0.000381, -0.114483, -0.002985, -0.082346, -0.002314,  0.088983,  0.007452,  0.118393,  0.008855,  0.289873,  0.015445,  0.311470,  0.013368,  0.478551, -0.025786,15688385.000000,  0.310292
  0.007000,  0.029000,  0.700000,  0.430000,  0.180000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485861, -0.030415, -0.314324, -0.035307, -0.286076, -0.036913, -0.115089, -0.051486, -0.083342, -0.053230,  0.088213, -0.057478,  0.125795, -0.053310,  0.292252, -0.011581,  0.311274, -0.010243,  0.481933, -0.028259,101913536.000000,  0.035417
  0.009000,  0.014000,  0.030000,  0.020000,  0.090000,  0.030000,  0.030000,  0.200000,  0.200000, -0.479916, -0.026863, -0.311030,  0.003582, -0.286892,  0.005619, -0.115293,  0.003902, -0.083526,  0.004530,  0.087871,  0.013027,  0.116217,  0.013658,  0.287822,  0.012801,  0.311273,  0.010229,  0.478983, -0.026140,28034558.000000,  0.348891
  0.002000,  0.014000,  0.840000,  0.760000,  0.160000,  0.030000,  0.030000,  0.200000,  0.200000, -0.492744, -0.032747, -0.326285, -0.074469, -0.288517, -0.078535, -0.116992, -0.073202, -0.084754, -0.070939,  0.085833, -0.052253,  0.114808, -0.049514,  0.285876, -0.035909,  0.314162, -0.034448,  0.485721, -0.030350,1200459392.000000,  0.020255
  0.005000,  0.011000,  0.280000,  0.260000,  0.090000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485013, -0.030007, -0.313406, -0.030082, -0.281961, -0.029329, -0.110554, -0.021042, -0.078205, -0.018120,  0.091912,  0.004449,  0.119527,  0.007068,  0.290854,  0.016880,  0.311592,  0.014992,  0.478329, -0.025601,361866016.000000,  0.229112
  0.007000,  0.023000,  0.600000,  0.540000,  0.020000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486394, -0.030657, -0.314967, -0.038538, -0.284195, -0.039546, -0.112620, -0.042902, -0.082352, -0.043357,  0.089246, -0.045159,  0.126046, -0.041074,  0.293071, -0.001681,  0.310999, -0.000987,  0.480571, -0.027341,95403488.000000,  0.063245
  0.008000,  0.014000,  0.520000,  0.430000,  0.060000,  0.030000,  0.030000,  0.200000,  0.200000, -0.487946, -0.031300, -0.317129, -0.047755, -0.283332, -0.048817, -0.111820, -0.043111, -0.080138, -0.041128,  0.090747, -0.025394,  0.122507, -0.021382,  0.291937,  0.005871,  0.311079,  0.005589,  0.479631, -0.026648,707740992.000000,  0.100690
  0.014000,  0.020000,  0.360000,  0.230000,  0.150000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483922, -0.029436, -0.312427, -0.023211, -0.284915, -0.023342, -0.113488, -0.031203, -0.081264, -0.031473,  0.090271, -0.026484,  0.124638, -0.022803,  0.293338,  0.008655,  0.311187,  0.008478,  0.479226, -0.026333,187163072.000000,  0.132021
  0.008000,  0.022000,  0.910000,  0.490000,  0.150000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489666, -0.031909, -0.319997, -0.057631, -0.288941, -0.061642, -0.118304, -0.079867, -0.086089, -0.082057,  0.085445, -0.087088,  0.121661, -0.084208,  0.290244, -0.052134,  0.317255, -0.048236,  0.488028, -0.031332,842057600.000000,  0.013357
  0.006000,  0.025000,  0.460000,  0.410000,  0.080000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484268, -0.029623, -0.312713, -0.025412, -0.284015, -0.025328, -0.112438, -0.028529, -0.081528, -0.028635,  0.090067, -0.026614,  0.125093, -0.023078,  0.293631,  0.009233,  0.311214,  0.009074,  0.479143, -0.026268,43169608.000000,  0.134446
  0.004000,  0.014000,  0.190000,  0.140000,  0.140000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482613, -0.028683, -0.311572, -0.014744, -0.284645, -0.013911, -0.113070, -0.017250, -0.080221, -0.016302,  0.090876, -0.003071,  0.121396, -0.000383,  0.292172,  0.016498,  0.311603,  0.015126,  0.478311, -0.025585,115473656.000000,  0.232260
  0.006000,  0.011000,  0.240000,  0.190000,  0.070000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483795, -0.029367, -0.312329, -0.022403, -0.282482, -0.021256, -0.110987, -0.015044, -0.078947, -0.012735,  0.091667,  0.005704,  0.120178,  0.008123,  0.291459,  0.018701,  0.311745,  0.016802,  0.478084, -0.025391,424669216.000000,  0.256164
  0.012000,  0.022000,  0.010000,  0.010000,  0.010000,  0.030000,  0.030000,  0.200000,  0.200000, -0.479452, -0.026510, -0.311121,  0.006866, -0.287238,  0.009212, -0.115631,  0.009237, -0.085499,  0.009307,  0.086106,  0.010083,  0.116076,  0.010203,  0.287683,  0.010809,  0.311185,  0.008444,  0.479231, -0.026337,2487607.750000,  0.356986
  0.006000,  0.025000,  0.230000,  0.150000,  0.100000,  0.030000,  0.030000,  0.200000,  0.200000, -0.481702, -0.028110, -0.311196, -0.008692, -0.285547, -0.007603, -0.114009, -0.012487, -0.082857, -0.012772,  0.088741, -0.011027,  0.122122, -0.008730,  0.292342,  0.013050,  0.311386,  0.012131,  0.478720, -0.025926,31483590.000000,  0.223332
  0.003000,  0.018000,  0.070000,  0.050000,  0.040000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480265, -0.027121, -0.311000,  0.001133, -0.286356,  0.003088, -0.114753,  0.001877, -0.084105,  0.001992,  0.087484,  0.004495,  0.118510,  0.005489,  0.289907,  0.013974,  0.311384,  0.012101,  0.478725, -0.025930,33443928.000000,  0.316597
  0.008000,  0.014000,  0.210000,  0.150000,  0.030000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482860, -0.028831, -0.311706, -0.016360, -0.284432, -0.015597, -0.112848, -0.018480, -0.082122, -0.018623,  0.089481, -0.017337,  0.123784, -0.014495,  0.293259,  0.012479,  0.311371,  0.011894,  0.478753, -0.025953,197484400.000000,  0.185647
  0.005000,  0.021000,  0.500000,  0.300000,  0.170000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485584, -0.030285, -0.314009, -0.033612, -0.285793, -0.034978, -0.114698, -0.048234, -0.082378, -0.049458,  0.089229, -0.049189,  0.125732, -0.044868,  0.292659, -0.005061,  0.311042, -0.004171,  0.481034, -0.027664,142568480.000000,  0.052907
  0.004000,  0.026000,  0.900000,  0.870000,  0.050000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489002, -0.031686, -0.318832, -0.053857, -0.285416, -0.056211, -0.113819, -0.058115, -0.083271, -0.058174,  0.088332, -0.056933,  0.124603, -0.052579,  0.291625, -0.013172,  0.311367, -0.011837,  0.482173, -0.028411,149210240.000000,  0.027202
  0.012000,  0.027000,  0.060000,  0.050000,  0.090000,  0.030000,  0.030000,  0.200000,  0.200000, -0.479905, -0.026855, -0.311032,  0.003659, -0.286707,  0.005798, -0.115101,  0.005215, -0.084145,  0.005606,  0.087392,  0.010524,  0.116890,  0.011127,  0.288485,  0.013215,  0.311309,  0.010870,  0.478894, -0.026068,4467237.000000,  0.346138
  0.007000,  0.025000,  0.270000,  0.150000,  0.140000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482132, -0.028385, -0.311351, -0.011565, -0.285683, -0.010863, -0.114238, -0.018329, -0.082631, -0.018850,  0.088967, -0.017038,  0.122930, -0.014327,  0.292642,  0.011105,  0.311288,  0.010488,  0.478947, -0.026111,37288008.000000,  0.190129
  0.004000,  0.012000,  0.540000,  0.420000,  0.100000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489144, -0.031735, -0.319075, -0.054669, -0.283954, -0.056286, -0.112498, -0.049078, -0.079808, -0.046141,  0.090186, -0.022664,  0.119398, -0.018900,  0.289791,  0.001486,  0.310999,  0.001002,  0.480284, -0.027135,837098048.000000,  0.092363
  0.005000,  0.010000,  0.150000,  0.140000,  0.120000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482718, -0.028746, -0.311628, -0.015435, -0.283750, -0.014235, -0.112149, -0.012805, -0.079012, -0.010732,  0.091431,  0.009226,  0.118972,  0.011361,  0.290455,  0.017900,  0.311652,  0.015725,  0.478230, -0.025516,161251536.000000,  0.277553
  0.014000,  0.030000,  0.780000,  0.750000,  0.190000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486554, -0.030728, -0.315170, -0.039502, -0.284005, -0.040480, -0.112409, -0.042472, -0.080610, -0.041877,  0.090791, -0.033465,  0.124971, -0.029182,  0.293149,  0.004957,  0.311065,  0.005082,  0.479703, -0.026703,121315536.000000,  0.089151
  0.015000,  0.021000,  0.370000,  0.230000,  0.060000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483848, -0.029396, -0.312370, -0.022742, -0.285028, -0.022881, -0.113626, -0.031268, -0.082729, -0.032307,  0.088849, -0.035449,  0.125282, -0.031973,  0.293171,  0.003557,  0.311035,  0.003816,  0.479882, -0.026838,176584576.000000,  0.108498
  0.005000,  0.028000,  0.800000,  0.430000,  0.200000,  0.030000,  0.030000,  0.200000,  0.200000, -0.487110, -0.030965, -0.315913, -0.042827, -0.287569, -0.045514, -0.117192, -0.066031, -0.085284, -0.068774,  0.086095, -0.077643,  0.124359, -0.074005,  0.290995, -0.033000,  0.313435, -0.030264,  0.485042, -0.030021,130335464.000000,  0.007567
